agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,1,1,Extract Method,"Extract Method private verifyRectangular(d double[][]) : void extracted from public Array2DRowRealMatrix(d double[][], copyArray boolean) in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,1,2,Extract Method,"Extract Method private verifyRectangular(d double[][]) : void extracted from public setSubMatrix(subMatrix double[][], row int, column int) : void in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,1,3,Rename Parameter,Rename Parameter subMatrix : double[][] to d : double[][] in method private verifyRectangular(d double[][]) : void from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,1,4,Rename Variable,Rename Variable i : int to r : int in method private verifyRectangular(d double[][]) : void from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,1,Extract Method,"Extract Method private walkInRowOrderImpl(visitor RealMatrixChangingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInRowOrder(visitor RealMatrixChangingVisitor) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,2,Extract Method,"Extract Method private walkInRowOrderImpl(visitor RealMatrixPreservingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInRowOrder(visitor RealMatrixPreservingVisitor) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,3,Extract Method,"Extract Method private walkInRowOrderImpl(visitor RealMatrixChangingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInRowOrder(visitor RealMatrixChangingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,4,Extract Method,"Extract Method private walkInRowOrderImpl(visitor RealMatrixPreservingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInRowOrder(visitor RealMatrixPreservingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,5,Extract Method,"Extract Method private walkInColumnOrderImpl(visitor RealMatrixChangingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInColumnOrder(visitor RealMatrixChangingVisitor) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,6,Extract Method,"Extract Method private walkInColumnOrderImpl(visitor RealMatrixPreservingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInColumnOrder(visitor RealMatrixPreservingVisitor) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
