agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,1,1,Extract Method,"Extract Method private invokeSetQuantile(percentileImpl UnivariateStatistic, p double) : void extracted from public getPercentile(p double) : double in class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics"
claude,1,2,Extract Method,"Extract Method private invokeSetQuantile(percentileImpl UnivariateStatistic, p double) : void extracted from public setPercentileImpl(percentileImpl UnivariateStatistic) : void in class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics"
claude,1,3,Invert Condition,Invert Condition if(windowSize != INFINITE_WINDOW) to if(windowSize == INFINITE_WINDOW || getN() < windowSize) in method public addValue(v double) : void from class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,1,4,Extract Variable,Extract Variable n : long in method public getStandardDeviation() : double from class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,3,1,Extract Method,Extract Method private configurePercentileQuantile(p double) : void extracted from public getPercentile(p double) : double in class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,3,2,Extract Method,Extract Method private validateSetQuantileSupport(impl UnivariateStatistic) : void extracted from public setPercentileImpl(percentileImpl UnivariateStatistic) : void in class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,3,3,Rename Parameter,Rename Parameter percentileImpl : UnivariateStatistic to impl : UnivariateStatistic in method private validateSetQuantileSupport(impl UnivariateStatistic) : void from class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,4,1,Extract Variable,Extract Variable currentSize : int in method public setWindowSize(windowSize int) : void from class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,5,1,Extract Variable,Extract Variable n : long in method public addValue(v double) : void from class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,5,2,Split Conditional,"Split Conditional if(windowSize == INFINITE_WINDOW || getN() < windowSize) to [if(windowSize == INFINITE_WINDOW), if(n < windowSize)] in method public addValue(v double) : void from class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics"
claude,5,3,Extract Attribute,Extract Attribute private PROBE_QUANTILE : double in class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
claude,6,1,Extract Method,Extract Method private setPercentileQuantile(p double) : void extracted from public getPercentile(p double) : double in class org.apache.commons.math3.stat.descriptive.DescriptiveStatistics
