agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,1,1,Extract Method,Extract Method private expHalfLarge(absX double) : double extracted from public cosh(x double) : double in class org.apache.commons.math3.util.FastMath
claude,1,2,Extract Method,Extract Method private expHalfLarge(absX double) : double extracted from public cosh(x double) : double in class org.apache.commons.math3.util.FastMath
claude,1,3,Extract Method,"Extract Method private coshSinhCore(absX double, subtractReciprocal boolean) : double extracted from public cosh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,1,4,Extract Method,Extract Method private expHalfLarge(absX double) : double extracted from public sinh(x double) : double in class org.apache.commons.math3.util.FastMath
claude,1,5,Extract Method,Extract Method private expHalfLarge(absX double) : double extracted from public sinh(x double) : double in class org.apache.commons.math3.util.FastMath
claude,1,6,Extract Method,"Extract Method private coshSinhCore(absX double, subtractReciprocal boolean) : double extracted from public sinh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,1,7,Extract Method,"Extract Method private convertWithSplitFactor(x double, facta double, factb double) : double extracted from public toRadians(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,1,8,Extract Method,"Extract Method private convertWithSplitFactor(x double, facta double, factb double) : double extracted from public toDegrees(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,1,9,Rename Parameter,Rename Parameter x : double to absX : double in method private expHalfLarge(absX double) : double from class org.apache.commons.math3.util.FastMath
claude,1,10,Rename Parameter,Rename Parameter x : double to absX : double in method private expHalfLarge(absX double) : double from class org.apache.commons.math3.util.FastMath
claude,1,11,Rename Parameter,"Rename Parameter x : double to absX : double in method private coshSinhCore(absX double, subtractReciprocal boolean) : double from class org.apache.commons.math3.util.FastMath"
claude,1,12,Rename Parameter,"Rename Parameter x : double to absX : double in method private coshSinhCore(absX double, subtractReciprocal boolean) : double from class org.apache.commons.math3.util.FastMath"
claude,1,13,Add Variable Modifier,"Add Variable Modifier final in variable hiPrec : double[] in method private coshSinhCore(absX double, subtractReciprocal boolean) : double from class org.apache.commons.math3.util.FastMath"
claude,1,14,Parameterize Variable,"Parameterize Variable facta : double to facta : double in method private convertWithSplitFactor(x double, facta double, factb double) : double from class org.apache.commons.math3.util.FastMath"
claude,1,15,Parameterize Variable,"Parameterize Variable facta : double to facta : double in method private convertWithSplitFactor(x double, facta double, factb double) : double from class org.apache.commons.math3.util.FastMath"
claude,1,16,Remove Variable Modifier,Remove Variable Modifier final in variable facta : double in method public toRadians(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,17,Parameterize Variable,"Parameterize Variable factb : double to factb : double in method private convertWithSplitFactor(x double, facta double, factb double) : double from class org.apache.commons.math3.util.FastMath"
claude,1,18,Parameterize Variable,"Parameterize Variable factb : double to factb : double in method private convertWithSplitFactor(x double, facta double, factb double) : double from class org.apache.commons.math3.util.FastMath"
claude,1,19,Remove Variable Modifier,Remove Variable Modifier final in variable factb : double in method public toRadians(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,20,Remove Variable Modifier,Remove Variable Modifier final in variable facta : double in method public toDegrees(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,21,Remove Variable Modifier,Remove Variable Modifier final in variable factb : double in method public toDegrees(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,22,Extract Attribute,Extract Attribute private PI_OVER_TWO_A : double in class org.apache.commons.math3.util.FastMath
claude,1,23,Extract Attribute,Extract Attribute private PI_OVER_TWO_B : double in class org.apache.commons.math3.util.FastMath
claude,1,24,Inline Variable,Inline Variable facta : double in method public toRadians(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,25,Inline Variable,Inline Variable factb : double in method public toRadians(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,26,Inline Variable,Inline Variable facta : double in method public toDegrees(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,27,Inline Variable,Inline Variable factb : double in method public toDegrees(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,28,Replace Variable With Attribute,"Replace Variable With Attribute pi2a : double to PI_OVER_TWO_A : double in method private cosQ(xa double, xb double) : double from class org.apache.commons.math3.util.FastMath"
claude,1,29,Replace Variable With Attribute,Replace Variable With Attribute pi2a : double to PI_OVER_TWO_A : double in method public tan(x double) : double from class org.apache.commons.math3.util.FastMath
claude,1,30,Replace Variable With Attribute,"Replace Variable With Attribute pi2b : double to PI_OVER_TWO_B : double in method private cosQ(xa double, xb double) : double from class org.apache.commons.math3.util.FastMath"
claude,1,31,Replace Variable With Attribute,Replace Variable With Attribute pi2b : double to PI_OVER_TWO_B : double in method public tan(x double) : double from class org.apache.commons.math3.util.FastMath
claude,2,1,Extract Method,"Extract Method private evaluateSplitPolynomial(coef double[][], xa double, xb double) : double[] extracted from private log(x double, hiPrec double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,2,2,Extract Method,"Extract Method private evaluateSplitPolynomial(coef double[][], xa double, xb double) : double[] extracted from private log(x double, hiPrec double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,2,3,Rename Variable,"Rename Variable lnCoef_last : double[] to yab : double[] in method private log(x double, hiPrec double[]) : double from class org.apache.commons.math3.util.FastMath"
claude,2,4,Rename Variable,"Rename Variable lnCoef_last : double[] to yab : double[] in method private log(x double, hiPrec double[]) : double from class org.apache.commons.math3.util.FastMath"
claude,2,5,Rename Variable,"Rename Variable lnCoef_last : double[] to yab : double[] in method private log(x double, hiPrec double[]) : double from class org.apache.commons.math3.util.FastMath"
claude,3,1,Extract Method,"Extract Method private reduceForTrig(xa double, result double[]) : void extracted from public sin(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,3,2,Extract Method,"Extract Method private reduceForTrig(xa double, result double[]) : void extracted from public cos(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,3,3,Extract Method,"Extract Method private reduceForTrig(xa double, result double[]) : void extracted from public tan(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,3,4,Parameterize Variable,"Parameterize Variable reduceResults : double[] to result : double[] in method private reduceForTrig(xa double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,3,5,Parameterize Variable,"Parameterize Variable reduceResults : double[] to result : double[] in method private reduceForTrig(xa double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,3,6,Parameterize Variable,"Parameterize Variable reduceResults : double[] to result : double[] in method private reduceForTrig(xa double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,3,7,Add Variable Modifier,Add Variable Modifier final in variable reduceResults : double[] in method public sin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,3,8,Add Variable Modifier,Add Variable Modifier final in variable reduceResults : double[] in method public cos(x double) : double from class org.apache.commons.math3.util.FastMath
claude,3,9,Add Variable Modifier,Add Variable Modifier final in variable reduceResults : double[] in method public tan(x double) : double from class org.apache.commons.math3.util.FastMath
claude,4,1,Extract Method,"Extract Method private divideExtended(na double, nb double, da double, db double) : double extracted from public tanh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,4,2,Extract Method,"Extract Method private divideExtended(na double, nb double, da double, db double) : double extracted from public tanh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,4,3,Add Variable Modifier,"Add Variable Modifier final in variable daa : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,4,Add Variable Modifier,"Add Variable Modifier final in variable daa : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,5,Add Variable Modifier,"Add Variable Modifier final in variable dab : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,6,Add Variable Modifier,"Add Variable Modifier final in variable dab : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,7,Add Variable Modifier,"Add Variable Modifier final in variable ratio : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,8,Add Variable Modifier,"Add Variable Modifier final in variable ratio : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,9,Add Variable Modifier,"Add Variable Modifier final in variable ratioa : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,10,Add Variable Modifier,"Add Variable Modifier final in variable ratioa : double in method private divideExtended(na double, nb double, da double, db double) : double from class org.apache.commons.math3.util.FastMath"
claude,4,11,Move Code,Move Code from public sin(x double) : double to private reduceForTrig(xa double) : double[] in class org.apache.commons.math3.util.FastMath
claude,4,12,Move Code,Move Code from public cos(x double) : double to private reduceForTrig(xa double) : double[] in class org.apache.commons.math3.util.FastMath
claude,4,13,Move Code,Move Code from public tan(x double) : double to private reduceForTrig(xa double) : double[] in class org.apache.commons.math3.util.FastMath
claude,4,14,Localize Parameter,Localize Parameter result : double[] to result : double[] in method private reduceForTrig(xa double) : double[] from class org.apache.commons.math3.util.FastMath
claude,4,15,Add Variable Modifier,Add Variable Modifier final in variable result : double[] in method private reduceForTrig(xa double) : double[] from class org.apache.commons.math3.util.FastMath
claude,4,16,Change Return Type,Change Return Type void to double[] in method private reduceForTrig(xa double) : double[] from class org.apache.commons.math3.util.FastMath
claude,5,1,Extract Method,"Extract Method private unsignedAddOverflowed(a long, b long, sum long) : boolean extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,5,2,Extract Method,"Extract Method private unsignedAddOverflowed(a long, b long, sum long) : boolean extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,5,3,Extract Method,"Extract Method private unsignedAddOverflowed(a long, b long, sum long) : boolean extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,5,4,Extract Method,"Extract Method private unsignedAddOverflowed(a long, b long, sum long) : boolean extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,5,5,Extract Method,"Extract Method private unsignedAddOverflowed(a long, b long, sum long) : boolean extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,5,6,Add Variable Modifier,"Add Variable Modifier final in variable topSum : boolean in method private unsignedAddOverflowed(a long, b long, sum long) : boolean from class org.apache.commons.math3.util.FastMath"
claude,5,7,Add Variable Modifier,"Add Variable Modifier final in variable topSum : boolean in method private unsignedAddOverflowed(a long, b long, sum long) : boolean from class org.apache.commons.math3.util.FastMath"
claude,5,8,Rename Variable,"Rename Variable bitb : boolean to topSum : boolean in method private unsignedAddOverflowed(a long, b long, sum long) : boolean from class org.apache.commons.math3.util.FastMath"
claude,5,9,Add Variable Modifier,"Add Variable Modifier final in variable topA : boolean in method private unsignedAddOverflowed(a long, b long, sum long) : boolean from class org.apache.commons.math3.util.FastMath"
claude,5,10,Rename Variable,"Rename Variable bita : boolean to topSum : boolean in method private unsignedAddOverflowed(a long, b long, sum long) : boolean from class org.apache.commons.math3.util.FastMath"
claude,5,11,Rename Variable,"Rename Variable bitsum : boolean to topA : boolean in method private unsignedAddOverflowed(a long, b long, sum long) : boolean from class org.apache.commons.math3.util.FastMath"
claude,6,1,Extract Method,"Extract Method private yOverOnePlusY(ya double, yb double) : double[] extracted from public sinh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,6,2,Extract Method,"Extract Method private scaledExpRecursion(x double, extra double, hiPrec double[], offset double, divisor double) : double extracted from private exp(x double, extra double, hiPrec double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,6,3,Extract Method,"Extract Method private scaledExpRecursion(x double, extra double, hiPrec double[], offset double, divisor double) : double extracted from private exp(x double, extra double, hiPrec double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,6,4,Extract Method,"Extract Method private yOverOnePlusY(ya double, yb double) : double[] extracted from private expm1(x double, hiPrecOut double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,6,5,Extract Method,Extract Method private splitOneMinusXSquared(x double) : double[] extracted from public asin(x double) : double in class org.apache.commons.math3.util.FastMath
claude,6,6,Extract Method,Extract Method private splitOneMinusXSquared(x double) : double[] extracted from public acos(x double) : double in class org.apache.commons.math3.util.FastMath
claude,6,7,Add Variable Modifier,"Add Variable Modifier final in variable denom : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,8,Add Variable Modifier,"Add Variable Modifier final in variable denom : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,9,Add Variable Modifier,"Add Variable Modifier final in variable denomr : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,10,Add Variable Modifier,"Add Variable Modifier final in variable denomr : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,11,Add Variable Modifier,"Add Variable Modifier final in variable denomb : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,12,Add Variable Modifier,"Add Variable Modifier final in variable denomb : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,13,Add Variable Modifier,"Add Variable Modifier final in variable ratio : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,14,Add Variable Modifier,"Add Variable Modifier final in variable ratio : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,15,Add Variable Modifier,"Add Variable Modifier final in variable ra : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,16,Add Variable Modifier,"Add Variable Modifier final in variable za : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,17,Add Variable Modifier,"Add Variable Modifier final in variable za : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,18,Add Variable Modifier,"Add Variable Modifier final in variable zb : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,19,Add Variable Modifier,"Add Variable Modifier final in variable zb : double in method private yOverOnePlusY(ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,6,20,Add Variable Modifier,Add Variable Modifier final in variable ra : double in method public sinh(x double) : double from class org.apache.commons.math3.util.FastMath
claude,6,21,Add Variable Modifier,Add Variable Modifier final in variable rb : double in method public sinh(x double) : double from class org.apache.commons.math3.util.FastMath
claude,6,22,Add Variable Modifier,Add Variable Modifier final in variable za : double in method public asin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,6,23,Add Variable Modifier,Add Variable Modifier final in variable zb : double in method public asin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,6,24,Add Variable Modifier,Add Variable Modifier final in variable za : double in method public acos(x double) : double from class org.apache.commons.math3.util.FastMath
claude,6,25,Add Variable Modifier,Add Variable Modifier final in variable zb : double in method public acos(x double) : double from class org.apache.commons.math3.util.FastMath
claude,7,1,Inline Variable,"Inline Variable result : double in method public pow(x double, y double) : double from class org.apache.commons.math3.util.FastMath"
claude,7,2,Extract Method,"Extract Method private combineSplit(high double, low double) : double extracted from package Split(high double, low double) in class org.apache.commons.math3.util.FastMath.Split"
claude,9,1,Extract Method,Extract Method private sqrtExtendedPrecision(za double) : double[] extracted from public asin(x double) : double in class org.apache.commons.math3.util.FastMath
claude,9,2,Extract Method,Extract Method private sqrtExtendedPrecision(za double) : double[] extracted from public acos(x double) : double in class org.apache.commons.math3.util.FastMath
claude,9,3,Add Variable Modifier,Add Variable Modifier final in variable ya : double in method private sqrtExtendedPrecision(za double) : double[] from class org.apache.commons.math3.util.FastMath
claude,9,4,Add Variable Modifier,Add Variable Modifier final in variable ya : double in method private sqrtExtendedPrecision(za double) : double[] from class org.apache.commons.math3.util.FastMath
claude,9,5,Add Variable Modifier,Add Variable Modifier final in variable y : double in method private sqrtExtendedPrecision(za double) : double[] from class org.apache.commons.math3.util.FastMath
claude,9,6,Add Variable Modifier,Add Variable Modifier final in variable y : double in method private sqrtExtendedPrecision(za double) : double[] from class org.apache.commons.math3.util.FastMath
claude,9,7,Add Variable Modifier,Add Variable Modifier final in variable temp : double in method private sqrtExtendedPrecision(za double) : double[] from class org.apache.commons.math3.util.FastMath
claude,9,8,Add Variable Modifier,Add Variable Modifier final in variable temp : double in method private sqrtExtendedPrecision(za double) : double[] from class org.apache.commons.math3.util.FastMath
claude,9,9,Add Variable Modifier,Add Variable Modifier final in variable y : double in method public asin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,9,10,Add Variable Modifier,Add Variable Modifier final in variable ya : double in method public asin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,9,11,Add Variable Modifier,Add Variable Modifier final in variable yb : double in method public asin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,9,12,Add Variable Modifier,Add Variable Modifier final in variable temp : double in method public acos(x double) : double from class org.apache.commons.math3.util.FastMath
claude,9,13,Add Variable Modifier,Add Variable Modifier final in variable ya : double in method public acos(x double) : double from class org.apache.commons.math3.util.FastMath
claude,9,14,Add Variable Modifier,Add Variable Modifier final in variable b : double in method package CodyWaite(xa double) from class org.apache.commons.math3.util.FastMath.CodyWaite
claude,9,15,Add Variable Modifier,Add Variable Modifier final in variable a : double in method package CodyWaite(xa double) from class org.apache.commons.math3.util.FastMath.CodyWaite
claude,10,1,Extract Method,"Extract Method private accumulateUpperProduct(a long, b long, c long, d long, acc long[]) : void extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,10,2,Extract Method,"Extract Method private accumulateUpperProduct(a long, b long, c long, d long, acc long[]) : void extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,10,3,Extract Method,"Extract Method private accumulateUpperProduct(a long, b long, c long, d long, acc long[]) : void extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,10,4,Extract Method,"Extract Method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void extracted from private reducePayneHanek(x double, result double[]) : void in class org.apache.commons.math3.util.FastMath"
claude,10,5,Add Variable Modifier,"Add Variable Modifier final in variable bc : long in method private accumulateUpperProduct(a long, b long, c long, d long, acc long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,6,Add Variable Modifier,"Add Variable Modifier final in variable ad : long in method private accumulateUpperProduct(a long, b long, c long, d long, acc long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,7,Parameterize Variable,"Parameterize Variable c : long to c : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,8,Parameterize Variable,"Parameterize Variable d : long to d : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,9,Add Variable Modifier,"Add Variable Modifier final in variable prevLo : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,10,Add Variable Modifier,"Add Variable Modifier final in variable ac : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,11,Add Variable Modifier,"Add Variable Modifier final in variable bd : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,12,Add Variable Modifier,"Add Variable Modifier final in variable bc : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,13,Add Variable Modifier,"Add Variable Modifier final in variable ad : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,14,Add Variable Modifier,"Add Variable Modifier final in variable bcShifted : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,15,Rename Variable,"Rename Variable prodB : long to lo : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,16,Rename Variable,"Rename Variable prodA : long to hi : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,17,Rename Variable,"Rename Variable prevProdB : long to prevLo : long in method private unsignedMultiply64x64(a long, b long, c long, d long, product long[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,18,Add Variable Modifier,"Add Variable Modifier final in variable a : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,19,Add Variable Modifier,"Add Variable Modifier final in variable b : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,20,Add Variable Modifier,"Add Variable Modifier final in variable c : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,21,Add Variable Modifier,"Add Variable Modifier final in variable d : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,22,Add Variable Modifier,"Add Variable Modifier final in variable bd : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,23,Add Variable Modifier,"Add Variable Modifier final in variable bc : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,24,Add Variable Modifier,"Add Variable Modifier final in variable ad : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,25,Add Variable Modifier,"Add Variable Modifier final in variable intPart : int in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,26,Add Variable Modifier,"Add Variable Modifier final in variable prod2A : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,10,27,Add Variable Modifier,"Add Variable Modifier final in variable prod2B : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,11,1,Extract Method,Extract Method private sinhSmallPositive(absX double) : double extracted from public sinh(x double) : double in class org.apache.commons.math3.util.FastMath
claude,11,2,Add Variable Modifier,Add Variable Modifier final in variable hiPrec : double[] in method private sinhSmallPositive(absX double) : double from class org.apache.commons.math3.util.FastMath
claude,11,3,Rename Parameter,Rename Parameter x : double to absX : double in method private sinhSmallPositive(absX double) : double from class org.apache.commons.math3.util.FastMath
claude,12,1,Extract Method,"Extract Method private sinByQuadrant(xa double, xb double, quadrant int) : double extracted from public sin(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,12,2,Extract Method,"Extract Method private sinByQuadrant(xa double, xb double, quadrant int) : double extracted from public cos(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,12,3,Inline Variable,"Inline Variable c : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,12,4,Inline Variable,"Inline Variable d : long in method private reducePayneHanek(x double, result double[]) : void from class org.apache.commons.math3.util.FastMath"
claude,13,1,Extract Method,"Extract Method private expm1Large(x double) : double extracted from private expm1(x double, hiPrecOut double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,13,2,Extract Method,"Extract Method private logNearOne(x double) : double extracted from private log(x double, hiPrec double[]) : double in class org.apache.commons.math3.util.FastMath"
claude,13,3,Add Variable Modifier,Add Variable Modifier final in variable hiPrec : double[] in method private expm1Large(x double) : double from class org.apache.commons.math3.util.FastMath
claude,13,4,Replace Conditional With Ternary,Replace Conditional With Ternary if(negate) to return negate ? -result : result; in method public sinh(x double) : double from class org.apache.commons.math3.util.FastMath
claude,13,5,Add Variable Modifier,Add Variable Modifier final in variable negate : boolean in method public sinh(x double) : double from class org.apache.commons.math3.util.FastMath
claude,13,6,Add Variable Modifier,Add Variable Modifier final in variable negate : boolean in method public tanh(x double) : double from class org.apache.commons.math3.util.FastMath
claude,13,7,Add Variable Modifier,Add Variable Modifier final in variable negative : boolean in method public sin(x double) : double from class org.apache.commons.math3.util.FastMath
claude,14,1,Extract Method,"Extract Method private hasPositiveSign(v double) : boolean extracted from public atan2(y double, x double) : double in class org.apache.commons.math3.util.FastMath"
claude,14,2,Extract Method,"Extract Method private hasPositiveSign(v double) : boolean extracted from public atan2(y double, x double) : double in class org.apache.commons.math3.util.FastMath"
claude,14,3,Rename Parameter,Rename Parameter y : double to v : double in method private hasPositiveSign(v double) : boolean from class org.apache.commons.math3.util.FastMath
claude,14,4,Rename Parameter,Rename Parameter x : double to v : double in method private hasPositiveSign(v double) : boolean from class org.apache.commons.math3.util.FastMath
claude,15,1,Extract Method,"Extract Method private sinByAngleAddition(sintA double, sintB double, costA double, costB double, sinEpsA double, sinEpsB double, cosEpsB double) : double[] extracted from private sinQ(xa double, xb double) : double in class org.apache.commons.math3.util.FastMath"
claude,15,2,Extract Method,"Extract Method private sinByAngleAddition(sintA double, sintB double, costA double, costB double, sinEpsA double, sinEpsB double, cosEpsB double) : double[] extracted from private tanQ(xa double, xb double, cotanFlag boolean) : double in class org.apache.commons.math3.util.FastMath"
claude,15,3,Add Variable Modifier,"Add Variable Modifier final in variable c : double in method private sinQ(xa double, xb double) : double from class org.apache.commons.math3.util.FastMath"
claude,15,4,Add Variable Modifier,"Add Variable Modifier final in variable d : double in method private sinQ(xa double, xb double) : double from class org.apache.commons.math3.util.FastMath"
claude,15,5,Add Variable Modifier,"Add Variable Modifier final in variable t : double in method private sinQ(xa double, xb double) : double from class org.apache.commons.math3.util.FastMath"
claude,16,1,Extract Method,"Extract Method private addScalarToExtended(c double, ya double, yb double) : double[] extracted from public tanh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,16,2,Extract Method,"Extract Method private addScalarToExtended(c double, ya double, yb double) : double[] extracted from public tanh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,16,3,Extract Method,"Extract Method private addScalarToExtended(c double, ya double, yb double) : double[] extracted from public tanh(x double) : double in class org.apache.commons.math3.util.FastMath"
claude,16,4,Extract Method,"Extract Method private firstQuadrantTrigSetup(xa double) : double[] extracted from private sinQ(xa double, xb double) : double in class org.apache.commons.math3.util.FastMath"
claude,16,5,Extract Method,"Extract Method private firstQuadrantTrigSetup(xa double) : double[] extracted from private tanQ(xa double, xb double, cotanFlag boolean) : double in class org.apache.commons.math3.util.FastMath"
claude,16,6,Add Variable Modifier,"Add Variable Modifier final in variable temp : double in method private addScalarToExtended(c double, ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,16,7,Add Variable Modifier,"Add Variable Modifier final in variable temp : double in method private addScalarToExtended(c double, ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
claude,16,8,Rename Variable,"Rename Variable na : double to sa : double in method private addScalarToExtended(c double, ya double, yb double) : double[] from class org.apache.commons.math3.util.FastMath"
