agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,1,1,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a double[], b double[]) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,2,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a double[], b double[]) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,3,Extract Method,"Extract Method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double extracted from public linearCombination(a double[], b double[]) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,4,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,5,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,6,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,7,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,8,Extract Method,"Extract Method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,9,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,10,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,11,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,12,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,13,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,14,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,15,Extract Method,"Extract Method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,16,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,17,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,18,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,19,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,20,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,21,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,22,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,23,Extract Method,"Extract Method private highPart(x double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,24,Extract Method,"Extract Method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,1,25,Parameterize Variable,Parameterize Variable ai : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,26,Rename Parameter,Rename Parameter a1 : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,27,Rename Parameter,Rename Parameter a1 : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,28,Rename Parameter,Rename Parameter a1 : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,29,Rename Parameter,Rename Parameter b2 : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,30,Parameterize Variable,"Parameterize Variable a1Low : double to aLow : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,31,Parameterize Variable,"Parameterize Variable a1Low : double to aLow : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,32,Parameterize Variable,"Parameterize Variable a1Low : double to aLow : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,33,Parameterize Variable,"Parameterize Variable b1Low : double to bLow : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
