agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,1,1,Extract Method,"Extract Method private findMinRatioRows(tableau SimplexTableau, col int) : List<Integer> extracted from private getPivotRow(tableau SimplexTableau, col int) : Integer in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,1,2,Extract Method,"Extract Method private findArtificialVariableRow(tableau SimplexTableau, candidateRows List<Integer>) : Integer extracted from private getPivotRow(tableau SimplexTableau, col int) : Integer in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,1,3,Extract Method,"Extract Method private selectRowByBlandsRule(tableau SimplexTableau, candidateRows List<Integer>) : Integer extracted from private getPivotRow(tableau SimplexTableau, col int) : Integer in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,1,4,Extract Method,Extract Method private iterateUntilOptimal(tableau SimplexTableau) : void extracted from protected solvePhase1(tableau SimplexTableau) : void in class org.apache.commons.math3.optim.linear.SimplexSolver
claude,1,5,Extract Method,Extract Method private iterateUntilOptimal(tableau SimplexTableau) : void extracted from public doOptimize() : PointValuePair in class org.apache.commons.math3.optim.linear.SimplexSolver
claude,1,6,Extract Method,Extract Method private checkSolutionIsNonNegative(coeff double[]) : void extracted from public doOptimize() : PointValuePair in class org.apache.commons.math3.optim.linear.SimplexSolver
claude,1,7,Add Variable Modifier,"Add Variable Modifier final in variable minRatioPositions : List<Integer> in method private findMinRatioRows(tableau SimplexTableau, col int) : List<Integer> from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,1,8,Add Variable Modifier,"Add Variable Modifier final in variable column : int in method private findArtificialVariableRow(tableau SimplexTableau, candidateRows List<Integer>) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,1,9,Parameterize Variable,Parameterize Variable coeff : double[] to coeff : double[] in method private checkSolutionIsNonNegative(coeff double[]) : void from class org.apache.commons.math3.optim.linear.SimplexSolver
claude,1,10,Add Variable Modifier,"Add Variable Modifier final in variable minRatioPositions : List<Integer> in method private getPivotRow(tableau SimplexTableau, col int) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,2,1,Extract Method,"Extract Method private isAboveCutOff(entry double) : boolean extracted from private isValidPivotColumn(tableau SimplexTableau, col int) : boolean in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,2,2,Extract Method,"Extract Method private isAboveCutOff(entry double) : boolean extracted from private findMinRatioRows(tableau SimplexTableau, col int) : List<Integer> in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,3,1,Extract Method,"Extract Method private isBasicArtificialVariable(tableau SimplexTableau, row Integer, column int) : boolean extracted from private findArtificialVariableRow(tableau SimplexTableau, candidateRows List<Integer>) : Integer in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,3,2,Extract Variable,Extract Variable useBlandsRule : boolean in method private getPivotColumn(tableau SimplexTableau) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver
claude,4,1,Extract Method,"Extract Method private hasBasicArtificialVariable(tableau SimplexTableau, row Integer) : boolean extracted from private findArtificialVariableRow(tableau SimplexTableau, candidateRows List<Integer>) : Integer in class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,4,2,Extract Method,Extract Method private notifySolutionCallback(tableau SimplexTableau) : void extracted from public doOptimize() : PointValuePair in class org.apache.commons.math3.optim.linear.SimplexSolver
claude,6,1,Add Variable Modifier,Add Variable Modifier final in variable data : OptimizationData in method protected parseOptimizationData(optData OptimizationData...) : void from class org.apache.commons.math3.optim.linear.SimplexSolver
claude,6,2,Add Parameter Modifier,Add Parameter Modifier final in parameter tableau : SimplexTableau in method private getPivotColumn(tableau SimplexTableau) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver
claude,6,3,Add Parameter Modifier,"Add Parameter Modifier final in parameter tableau : SimplexTableau in method private isValidPivotColumn(tableau SimplexTableau, col int) : boolean from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,6,4,Add Parameter Modifier,"Add Parameter Modifier final in parameter col : int in method private isValidPivotColumn(tableau SimplexTableau, col int) : boolean from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,6,5,Add Parameter Modifier,"Add Parameter Modifier final in parameter tableau : SimplexTableau in method private getPivotRow(tableau SimplexTableau, col int) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,6,6,Add Variable Modifier,"Add Variable Modifier final in variable row : Integer in method private findArtificialVariableRow(tableau SimplexTableau, candidateRows List<Integer>) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,6,7,Add Variable Modifier,"Add Variable Modifier final in variable row : Integer in method private selectRowByBlandsRule(tableau SimplexTableau, candidateRows List<Integer>) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,6,8,Add Method Modifier,"Add Method Modifier static in method private selectRowByBlandsRule(tableau SimplexTableau, candidateRows List<Integer>) : Integer from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,6,9,Add Variable Modifier,Add Variable Modifier final in variable pivotCol : Integer in method protected doIteration(tableau SimplexTableau) : void from class org.apache.commons.math3.optim.linear.SimplexSolver
claude,6,10,Add Variable Modifier,Add Variable Modifier final in variable pivotRow : Integer in method protected doIteration(tableau SimplexTableau) : void from class org.apache.commons.math3.optim.linear.SimplexSolver
claude,7,1,Extract Variable,"Extract Variable firstArtificialColumn : int in method private hasBasicArtificialVariable(tableau SimplexTableau, row Integer) : boolean from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,7,2,Rename Variable,"Rename Variable column : int to endArtificialColumn : int in method private hasBasicArtificialVariable(tableau SimplexTableau, row Integer) : boolean from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,8,1,Extract Variable,"Extract Variable firstArtificialColumn : int in method private hasBasicArtificialVariable(tableau SimplexTableau, row Integer) : boolean from class org.apache.commons.math3.optim.linear.SimplexSolver"
claude,8,2,Rename Variable,"Rename Variable column : int to endArtificialColumn : int in method private hasBasicArtificialVariable(tableau SimplexTableau, row Integer) : boolean from class org.apache.commons.math3.optim.linear.SimplexSolver"
