agent,iter_no,project_name,package_name,type_name,code_smell
claude,0,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,0,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,1,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,1,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,2,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,2,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,3,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,3,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,4,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,4,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,5,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,5,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,6,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,6,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,7,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,7,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
claude,8,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Deficient Encapsulation
claude,8,java,org.apache.commons.math3.stat.descriptive,DescriptiveStatistics,Insufficient Modularization
