agent,iter_no,project_name,package_name,type_name,code_smell
claude,0,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,0,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,0,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,1,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,1,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,1,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,2,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,2,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,2,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,3,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,3,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,3,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,4,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,4,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,4,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,5,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,5,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,5,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,6,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,6,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,6,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,7,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,7,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,7,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,8,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,8,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,8,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,9,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,9,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,9,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,10,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,10,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,10,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,11,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,11,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,11,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,12,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,12,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,12,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,13,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,13,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,13,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,14,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,14,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,14,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,15,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,15,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,15,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,16,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,16,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,16,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,17,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,17,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,17,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,18,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,18,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,18,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,19,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,19,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,19,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
claude,20,java,org.apache.commons.math3.util,FastMath,Deficient Encapsulation
claude,20,java,org.apache.commons.math3.util,FastMath,Cyclic-Dependent Modularization
claude,20,java,org.apache.commons.math3.util,FastMath,Insufficient Modularization
