Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
java,org.apache.commons.math3.analysis,BivariateFunction,value,0,1,2
java,org.apache.commons.math3.analysis,DifferentiableMultivariateFunction,partialDerivative,0,1,1
java,org.apache.commons.math3.analysis,DifferentiableMultivariateFunction,gradient,0,1,0
java,org.apache.commons.math3.analysis,DifferentiableMultivariateVectorFunction,jacobian,0,1,0
java,org.apache.commons.math3.analysis,DifferentiableUnivariateFunction,derivative,0,1,0
java,org.apache.commons.math3.analysis,DifferentiableUnivariateMatrixFunction,derivative,0,1,0
java,org.apache.commons.math3.analysis,DifferentiableUnivariateVectorFunction,derivative,0,1,0
java,org.apache.commons.math3.analysis,FunctionUtils,FunctionUtils,2,1,0
java,org.apache.commons.math3.analysis,FunctionUtils,compose,15,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,compose,25,3,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,compose,35,3,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,derivative,17,2,0
java,org.apache.commons.math3.analysis,FunctionUtils,value,9,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,add,15,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,add,26,3,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,add,33,3,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,derivative,15,2,0
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,multiply,15,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
java,org.apache.commons.math3.analysis,FunctionUtils,multiply,25,3,1
java,org.apache.commons.math3.analysis,FunctionUtils,value,7,2,1
