Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
java,org.apache.commons.math3.analysis,BivariateFunction,0,0,1,0,13,1,13,0,-1.0,2,0
java,org.apache.commons.math3.analysis,DifferentiableMultivariateFunction,0,0,2,0,18,2,0,1,-1.0,2,0
java,org.apache.commons.math3.analysis,DifferentiableMultivariateVectorFunction,0,0,1,0,12,1,1,1,-1.0,2,0
java,org.apache.commons.math3.analysis,DifferentiableUnivariateFunction,0,0,1,0,11,1,32,1,-1.0,3,0
java,org.apache.commons.math3.analysis,DifferentiableUnivariateMatrixFunction,0,0,1,0,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis,DifferentiableUnivariateVectorFunction,0,0,1,0,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis,FunctionUtils,0,0,61,60,700,162,0,0,-1.0,32,10
java,org.apache.commons.math3.analysis,MultivariateFunction,0,0,1,0,14,1,10,0,-1.0,16,0
java,org.apache.commons.math3.analysis,MultivariateMatrixFunction,0,0,1,0,13,1,1,0,-1.0,5,0
java,org.apache.commons.math3.analysis,MultivariateVectorFunction,0,0,1,0,13,1,3,0,-1.0,11,0
java,org.apache.commons.math3.analysis,ParametricUnivariateFunction,0,0,2,0,20,2,6,0,-1.0,8,0
java,org.apache.commons.math3.analysis,RealFieldUnivariateFunction,0,0,1,0,15,1,0,0,-1.0,4,0
java,org.apache.commons.math3.analysis,TrivariateFunction,0,0,1,0,14,1,4,0,-1.0,0,0
java,org.apache.commons.math3.analysis,UnivariateFunction,0,0,1,0,12,1,12,0,-1.0,39,0
java,org.apache.commons.math3.analysis,UnivariateMatrixFunction,0,0,1,0,12,1,2,0,-1.0,2,0
java,org.apache.commons.math3.analysis,UnivariateVectorFunction,0,0,1,0,12,1,2,0,-1.0,2,0
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,7,0,88,83,942,112,0,2,0.03409090909090909,44,4
java,org.apache.commons.math3.analysis.differentiation,DataTransferObject,4,0,2,0,42,2,0,0,0.0,0,0
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,8,0,48,40,1189,180,0,0,0.0,2,4
java,org.apache.commons.math3.analysis.differentiation,FiniteDifferencesDifferentiator,6,0,14,13,226,49,0,1,0.2857142857142857,0,5
java,org.apache.commons.math3.analysis.differentiation,GradientFunction,1,0,2,2,35,4,0,1,0.0,0,2
java,org.apache.commons.math3.analysis.differentiation,JacobianFunction,1,0,2,2,37,5,0,1,0.0,0,1
java,org.apache.commons.math3.analysis.differentiation,MultivariateDifferentiableFunction,0,0,1,0,13,1,0,1,-1.0,4,0
java,org.apache.commons.math3.analysis.differentiation,MultivariateDifferentiableVectorFunction,0,0,1,0,13,1,1,1,-1.0,3,0
java,org.apache.commons.math3.analysis.differentiation,SparseGradient,3,0,78,76,756,124,0,2,0.02564102564102564,1,4
java,org.apache.commons.math3.analysis.differentiation,UnivariateDifferentiableFunction,0,0,1,0,15,1,33,1,-1.0,3,1
java,org.apache.commons.math3.analysis.differentiation,UnivariateDifferentiableMatrixFunction,0,0,1,0,13,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.differentiation,UnivariateDifferentiableVectorFunction,0,0,1,0,13,1,1,1,-1.0,0,1
java,org.apache.commons.math3.analysis.differentiation,UnivariateFunctionDifferentiator,0,0,1,0,12,1,1,0,-1.0,0,1
java,org.apache.commons.math3.analysis.differentiation,UnivariateMatrixFunctionDifferentiator,0,0,1,0,12,1,1,0,-1.0,0,1
java,org.apache.commons.math3.analysis.differentiation,UnivariateVectorFunctionDifferentiator,0,0,1,0,12,1,1,0,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Abs,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Acos,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Acosh,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Add,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Asin,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Asinh,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Atan,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Atan2,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Atanh,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Cbrt,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Ceil,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Constant,1,0,4,4,36,4,0,2,0.5,0,1
java,org.apache.commons.math3.analysis.function,Cos,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Cosh,0,0,3,3,26,3,0,2,-1.0,0,2
java,org.apache.commons.math3.analysis.function,Divide,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Exp,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Expm1,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Floor,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Gaussian,4,0,10,8,170,20,0,2,0.4,6,5
java,org.apache.commons.math3.analysis.function,Parametric,0,0,3,2,58,6,0,1,-1.0,4,1
java,org.apache.commons.math3.analysis.function,HarmonicOscillator,3,0,8,6,118,12,0,2,0.375,3,3
java,org.apache.commons.math3.analysis.function,Parametric,0,0,3,2,50,5,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Identity,0,0,3,3,26,3,0,2,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Inverse,0,0,3,3,26,3,0,2,-1.0,0,2
java,org.apache.commons.math3.analysis.function,Log,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Log10,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Log1p,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Logistic,6,0,8,6,146,12,0,2,0.375,3,4
java,org.apache.commons.math3.analysis.function,Parametric,0,0,3,2,64,6,0,1,-1.0,0,2
java,org.apache.commons.math3.analysis.function,Logit,2,0,9,7,133,17,0,2,0.5555555555555556,2,4
java,org.apache.commons.math3.analysis.function,Parametric,0,0,3,2,45,5,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Max,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Min,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Minus,0,0,3,3,26,3,0,2,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Multiply,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Pow,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Power,1,0,4,4,36,4,0,2,0.5,0,3
java,org.apache.commons.math3.analysis.function,Rint,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Sigmoid,2,0,9,7,129,15,0,2,0.5555555555555556,2,4
java,org.apache.commons.math3.analysis.function,Parametric,0,0,3,2,44,5,0,1,-1.0,0,2
java,org.apache.commons.math3.analysis.function,Signum,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.function,Sin,0,0,3,3,26,3,0,2,-1.0,0,2
java,org.apache.commons.math3.analysis.function,Sinc,2,0,5,5,108,14,0,2,0.6,0,3
java,org.apache.commons.math3.analysis.function,Sinh,0,0,3,3,26,3,0,2,-1.0,0,2
java,org.apache.commons.math3.analysis.function,Sqrt,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,StepFunction,2,0,2,2,54,7,0,1,0.0,0,1
java,org.apache.commons.math3.analysis.function,Subtract,0,0,1,1,12,1,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.function,Tan,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Tanh,0,0,3,3,26,3,0,2,-1.0,0,3
java,org.apache.commons.math3.analysis.function,Ulp,0,0,1,1,12,1,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.integration,BaseAbstractUnivariateIntegrator,13,4,16,7,203,18,6,1,0.0,1,5
java,org.apache.commons.math3.analysis.integration,IterativeLegendreGaussIntegrator,2,0,6,4,100,10,0,2,0.6666666666666666,0,4
java,org.apache.commons.math3.analysis.integration,LegendreGaussIntegrator,10,0,5,3,141,13,0,2,0.6,0,1
java,org.apache.commons.math3.analysis.integration,MidPointIntegrator,1,1,5,3,88,11,0,2,0.4,0,0
java,org.apache.commons.math3.analysis.integration,RombergIntegrator,1,1,4,3,80,10,0,2,0.5,0,1
java,org.apache.commons.math3.analysis.integration,SimpsonIntegrator,1,1,4,3,71,10,0,2,0.5,0,1
java,org.apache.commons.math3.analysis.integration,TrapezoidIntegrator,2,1,5,3,99,12,0,2,0.4,2,1
java,org.apache.commons.math3.analysis.integration,UnivariateIntegrator,0,0,7,0,49,7,1,0,-1.0,0,1
java,org.apache.commons.math3.analysis.integration.gauss,BaseRuleFactory,2,0,5,1,84,10,3,0,0.0,2,2
java,org.apache.commons.math3.analysis.integration.gauss,GaussIntegrator,2,0,6,6,78,8,1,0,0.3333333333333333,1,3
java,org.apache.commons.math3.analysis.integration.gauss,GaussIntegratorFactory,3,0,7,5,93,8,0,0,0.0,2,3
java,org.apache.commons.math3.analysis.integration.gauss,HermiteRuleFactory,3,0,1,0,101,10,0,1,0.0,0,1
java,org.apache.commons.math3.analysis.integration.gauss,LegendreHighPrecisionRuleFactory,4,0,3,2,142,12,0,1,0.6666666666666666,0,0
java,org.apache.commons.math3.analysis.integration.gauss,LegendreRuleFactory,0,0,1,0,81,10,0,1,-1.0,0,0
java,org.apache.commons.math3.analysis.integration.gauss,SymmetricGaussIntegrator,0,0,3,3,54,6,0,1,-1.0,0,2
java,org.apache.commons.math3.analysis.interpolation,AkimaSplineInterpolator,1,0,3,1,115,14,0,1,0.0,1,1
java,org.apache.commons.math3.analysis.interpolation,BicubicInterpolatingFunction,5,0,5,3,147,22,0,1,0.0,0,1
java,org.apache.commons.math3.analysis.interpolation,BicubicFunction,2,0,3,1,59,8,0,1,0.0,0,1
java,org.apache.commons.math3.analysis.interpolation,BicubicInterpolator,0,0,2,2,56,8,0,1,-1.0,0,1
java,org.apache.commons.math3.analysis.interpolation,BicubicSplineInterpolatingFunction,6,0,12,9,251,32,0,1,0.16666666666666666,1,1
java,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction,7,0,14,11,208,23,0,1,0.14285714285714285,0,1
java,org.apache.commons.math3.analysis.interpolation,BicubicSplineInterpolator,1,0,5,3,101,18,1,1,0.4,1,3
java,org.apache.commons.math3.analysis.interpolation,BivariateGridInterpolator,0,0,1,0,17,1,3,0,-1.0,0,0
java,org.apache.commons.math3.analysis.interpolation,DividedDifferenceInterpolator,1,0,2,1,50,4,0,1,1.0,0,0
java,org.apache.commons.math3.analysis.interpolation,FieldHermiteInterpolator,3,0,4,4,128,19,0,0,0.0,0,2
java,org.apache.commons.math3.analysis.interpolation,HermiteInterpolator,3,0,7,5,140,21,0,2,0.2857142857142857,0,3
java,org.apache.commons.math3.analysis.interpolation,InterpolatingMicrosphere,10,0,16,8,270,33,1,0,0.125,2,4
java,org.apache.commons.math3.analysis.interpolation,Facet,1,0,2,1,22,2,0,0,0.0,0,0
java,org.apache.commons.math3.analysis.interpolation,FacetData,2,0,3,2,35,3,0,0,0.0,0,0
java,org.apache.commons.math3.analysis.interpolation,InterpolatingMicrosphere2D,1,0,3,2,41,4,0,1,1.0,1,3
java,org.apache.commons.math3.analysis.interpolation,LinearInterpolator,0,0,1,1,36,5,0,1,-1.0,0,2
java,org.apache.commons.math3.analysis.interpolation,LoessInterpolator,7,3,10,6,270,32,0,1,0.0,1,4
java,org.apache.commons.math3.analysis.interpolation,MicrosphereInterpolatingFunction,7,0,9,2,167,24,0,1,0.2222222222222222,0,3
java,org.apache.commons.math3.analysis.interpolation,MicrosphereSurfaceElement,3,0,6,0,62,7,0,0,0.3333333333333333,0,1
java,org.apache.commons.math3.analysis.interpolation,MicrosphereInterpolator,4,2,3,3,53,5,0,1,0.6666666666666666,0,1
java,org.apache.commons.math3.analysis.interpolation,MicrosphereProjectionInterpolator,4,0,4,4,89,10,0,1,0.0,0,1
java,org.apache.commons.math3.analysis.interpolation,MultivariateInterpolator,0,0,1,0,17,1,2,0,-1.0,0,0
