agent,iter_no,project_name,package_name,type_name,code_smell
claude,0,java,org.apache.commons.math3.util,Precision,Multifaceted Abstraction
claude,0,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,0,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,0,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,1,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,1,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,1,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,2,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,2,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,2,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,3,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,3,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,3,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,4,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,4,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,4,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,5,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,5,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,5,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,6,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,6,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,6,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,7,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,7,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,7,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,8,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,8,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,8,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,9,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,9,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,9,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,10,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,10,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,10,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
claude,11,java,org.apache.commons.math3.util,Precision,Deficient Encapsulation
claude,11,java,org.apache.commons.math3.util,Precision,Cyclic-Dependent Modularization
claude,11,java,org.apache.commons.math3.util,Precision,Insufficient Modularization
