Project Name,Package Name,Type Name,Code Smell
java,org.apache.commons.math3.analysis,BivariateFunction,Wide Hierarchy
java,org.apache.commons.math3.analysis,DifferentiableUnivariateFunction,Wide Hierarchy
java,org.apache.commons.math3.analysis,DifferentiableUnivariateMatrixFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis,DifferentiableUnivariateVectorFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis,FunctionUtils,Insufficient Modularization
java,org.apache.commons.math3.analysis,TrivariateFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis,UnivariateFunction,Wide Hierarchy
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,Insufficient Modularization
java,org.apache.commons.math3.analysis.differentiation,DataTransferObject,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,Insufficient Modularization
java,org.apache.commons.math3.analysis.differentiation,FiniteDifferencesDifferentiator,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,GradientFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,JacobianFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,SparseGradient,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,SparseGradient,Insufficient Modularization
java,org.apache.commons.math3.analysis.differentiation,UnivariateDifferentiableFunction,Wide Hierarchy
java,org.apache.commons.math3.analysis.differentiation,UnivariateDifferentiableMatrixFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,UnivariateDifferentiableVectorFunction,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,UnivariateFunctionDifferentiator,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,UnivariateMatrixFunctionDifferentiator,Unutilized Abstraction
java,org.apache.commons.math3.analysis.differentiation,UnivariateVectorFunctionDifferentiator,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Abs,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Acos,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Acosh,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Add,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Asin,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Asinh,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Atan,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Atan2,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Atanh,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Cbrt,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Ceil,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Constant,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Cos,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Cosh,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Divide,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Exp,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Expm1,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Floor,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Parametric,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Identity,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Inverse,Unutilized Abstraction
java,org.apache.commons.math3.analysis.function,Log,Unutilized Abstraction
