agent,iter_no,project_name,package_name,type_name,code_smell
claude,0,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,0,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,1,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,1,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,2,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,2,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,3,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,3,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,4,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,4,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,5,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,5,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,6,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,6,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,7,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,7,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
claude,8,java,org.apache.commons.math3.optim.linear,SimplexSolver,Unutilized Abstraction
claude,8,java,org.apache.commons.math3.optimization.linear,SimplexSolver,Unutilized Abstraction
